municipios_id,municipios_name,municipios_provincias_id
1,Alegría-Dulantzi,1
2,Amurrio,1
3,Aramaio,1
4,Artziniega,1
5,Armiñón,1
6,Arrazua-Ubarrundia,1
7,Asparrena,1
8,Ayala/Aiara,1
9,Baños de Ebro/Mañueta,1
10,Barrundia,1
11,Berantevilla,1
12,Bernedo,1
13,Campezo/Kanpezu,1
14,Zigoitia,1
15,Kripan,1
16,Kuartango,1
17,Elburgo/Burgelu,1
18,Elciego,1
19,Elvillar/Bilar,1
20,Iruraiz-Gauna,1
21,Labastida/Bastida,1
22,Lagrán,1
23,Laguardia,1
24,Lanciego/Lantziego,1
25,Lapuebla de Labarca,1
26,Leza,1
27,Laudio/Llodio,1
28,Arraia-Maeztu,1
29,Moreda de Álava,1
30,Navaridas,1
31,Okondo,1
32,Oyón-Oion,1
33,Peñacerrada-Urizaharra,1
34,Erriberagoitia/Ribera Alta,1
35,Ribera Baja/Erribera Beitia,1
36,Añana,1
37,Salvatierra/Agurain,1
38,Samaniego,1
39,San Millán/Donemiliaga,1
40,Urkabustaiz,1
41,Valdegovía/Gaubea,1
42,Harana/Valle de Arana,1
43,Villabuena de Álava/Eskuernaga,1
44,Legutio,1
45,Vitoria-Gasteiz,1
46,Yécora/Iekora,1
47,Zalduondo,1
48,Zambrana,1
49,Zuia,1
50,Iruña Oka/Iruña de Oca,1
51,Lantarón,1
52,Abengibre,2
53,Alatoz,2
54,Albacete,2
55,Albatana,2
56,Alborea,2
57,Alcadozo,2
58,Alcalá del Júcar,2
59,Alcaraz,2
60,Almansa,2
61,Alpera,2
62,Ayna,2
63,Balazote,2
64,Balsa de Ves,2
65,El ballestero,2
66,Barrax,2
67,Bienservida,2
68,Bogarra,2
69,Bonete,2
70,El bonillo,2
71,Carcelén,2
72,Casas de Juan Núñez,2
73,Casas de Lázaro,2
74,Casas de Ves,2
75,Casas-Ibáñez,2
76,Caudete,2
77,Cenizate,2
78,Corral-Rubio,2
79,Cotillas,2
80,Chinchilla de Monte-Aragón,2
81,Elche de la Sierra,2
82,Férez,2
83,Fuensanta,2
84,Fuente-Álamo,2
85,Fuentealbilla,2
86,La gineta,2
87,Golosalvo,2
88,Hellín,2
89,La herrera,2
90,Higueruela,2
91,Hoya-Gonzalo,2
92,Jorquera,2
93,Letur,2
94,Lezuza,2
95,Liétor,2
96,Madrigueras,2
97,Mahora,2
98,Masegoso,2
99,Minaya,2
100,Molinicos,2
101,Montalvos,2
102,Montealegre del Castillo,2
103,Motilleja,2
104,Munera,2
105,Navas de Jorquera,2
106,Nerpio,2
107,Ontur,2
108,Ossa de Montiel,2
109,Paterna del Madera,2
110,Peñascosa,2
111,Peñas de San Pedro,2
112,Pétrola,2
113,Povedilla,2
114,Pozohondo,2
115,Pozo-Lorente,2
116,Pozuelo,2
117,La recueja,2
118,Riópar,2
119,Robledo,2
120,La roda,2
121,Salobre,2
122,San Pedro,2
123,Socovos,2
124,Tarazona de la Mancha,2
125,Tobarra,2
126,Valdeganga,2
127,Vianos,2
128,Villa de Ves,2
129,Villalgordo del Júcar,2
130,Villamalea,2
131,Villapalacios,2
132,Villarrobledo,2
133,Villatoya,2
134,Villavaliente,2
135,Villaverde de Guadalimar,2
136,Viveros,2
137,Yeste,2
138,Pozo Cañada,2
139,Adsubia,3
140,Agost,3
141,Agres,3
142,Aigües,3
